Date,Country,total_cases,total_deaths
2020-04-21,Brazil,40581.0,2575.0
2020-04-22,Brazil,43079.0,2741.0
2020-04-23,Brazil,45757.0,2906.0
2020-04-24,Brazil,49492.0,3313.0
2020-04-25,Brazil,52995.0,3670.0
2020-04-26,Brazil,58509.0,4016.0
2020-04-27,Brazil,61888.0,4205.0
2020-04-28,Brazil,66501.0,4543.0
2020-04-29,Brazil,71886.0,5017.0
2020-04-30,Brazil,78162.0,5466.0
2020-05-01,Brazil,85380.0,5901.0
2020-05-02,Brazil,91589.0,6329.0
2020-05-03,Brazil,96559.0,6750.0
2020-05-04,Brazil,101147.0,7025.0
2020-05-05,Brazil,107780.0,7321.0
2020-05-06,Brazil,114715.0,7921.0
2020-05-07,Brazil,125218.0,8536.0
2020-05-08,Brazil,135106.0,9146.0
2020-05-09,Brazil,145328.0,9897.0
2020-05-10,Brazil,155939.0,10627.0
2020-05-11,Brazil,162699.0,11123.0
2020-05-12,Brazil,168331.0,11519.0
2020-05-13,Brazil,177589.0,12400.0
2020-05-14,Brazil,188974.0,13149.0
2020-05-15,Brazil,202918.0,13993.0
2020-05-16,Brazil,218223.0,14817.0
2020-05-17,Brazil,233142.0,15633.0
2020-05-18,Brazil,241080.0,16118.0
2020-05-19,Brazil,254220.0,16792.0
2020-05-20,Brazil,271628.0,17971.0
2020-05-21,Brazil,291579.0,18859.0
2020-05-22,Brazil,310087.0,20047.0
2020-05-23,Brazil,330890.0,21048.0
2020-05-24,Brazil,347398.0,22013.0
2020-05-25,Brazil,363211.0,22666.0
2020-05-26,Brazil,374898.0,23473.0
2020-05-27,Brazil,391222.0,24512.0
2020-05-28,Brazil,411821.0,25598.0
2020-05-29,Brazil,438238.0,26754.0
2020-05-30,Brazil,465166.0,27878.0
2020-05-31,Brazil,498440.0,28834.0
2020-06-01,Brazil,514849.0,29314.0
2020-06-02,Brazil,526447.0,29937.0
2020-06-03,Brazil,555383.0,31199.0
2020-06-04,Brazil,584016.0,32548.0
2020-06-05,Brazil,614932.0,34021.0
2020-06-06,Brazil,645762.0,35026.0
2020-06-07,Brazil,672837.0,35930.0
2020-06-08,Brazil,691758.0,36455.0
2020-06-09,Brazil,707412.0,37134.0
2020-06-10,Brazil,739503.0,38406.0
2020-06-11,Brazil,772416.0,39680.0
2020-06-12,Brazil,802828.0,40919.0
2020-06-13,Brazil,828810.0,41828.0
2020-06-14,Brazil,850514.0,42720.0
2020-06-15,Brazil,867624.0,43332.0
2020-06-16,Brazil,888271.0,43959.0
2020-06-17,Brazil,923189.0,45241.0
2020-06-18,Brazil,955377.0,46510.0
2020-06-19,Brazil,978142.0,47748.0
2020-06-20,Brazil,1032913.0,48954.0
2020-06-21,Brazil,1067579.0,49976.0
2020-06-22,Brazil,1085038.0,50617.0
2020-06-23,Brazil,1106470.0,51271.0
2020-06-24,Brazil,1145906.0,52645.0
2020-06-25,Brazil,1188631.0,53830.0
2020-06-26,Brazil,1228114.0,54971.0
2020-06-27,Brazil,1274974.0,55961.0
2020-06-28,Brazil,1313667.0,57070.0
2020-06-29,Brazil,1344143.0,57622.0
2020-06-30,Brazil,1368195.0,58314.0
2020-07-01,Brazil,1402041.0,59594.0
2020-07-02,Brazil,1448753.0,60632.0
2020-07-03,Brazil,1496858.0,61884.0
2020-07-04,Brazil,1539081.0,63174.0
2020-07-05,Brazil,1577004.0,64265.0
2020-07-06,Brazil,1603055.0,64867.0
2020-07-07,Brazil,1623284.0,65487.0
2020-07-08,Brazil,1668589.0,66741.0
2020-07-09,Brazil,1713160.0,67964.0
2020-07-10,Brazil,1755779.0,69184.0
2020-07-11,Brazil,1800827.0,70398.0
2020-07-12,Brazil,1839850.0,71469.0
2020-07-13,Brazil,1864681.0,72100.0
2020-07-14,Brazil,1884967.0,72833.0
2020-07-15,Brazil,1926824.0,74133.0
2020-07-16,Brazil,1966748.0,75366.0
2020-07-17,Brazil,2012151.0,76688.0
2020-07-18,Brazil,2046328.0,77851.0
2020-07-19,Brazil,2074860.0,78772.0
2020-07-20,Brazil,2098389.0,79488.0
2020-07-21,Brazil,2118646.0,80120.0
2020-07-22,Brazil,2159654.0,81487.0
2020-07-23,Brazil,2227514.0,82771.0
2020-07-24,Brazil,2287475.0,84082.0
2020-07-25,Brazil,2343366.0,85238.0
2020-07-26,Brazil,2394513.0,86449.0
2020-07-27,Brazil,2419091.0,87004.0
2020-07-28,Brazil,2442375.0,87618.0
2020-07-29,Brazil,2483191.0,88539.0
2020-07-30,Brazil,2552265.0,90134.0
2020-07-31,Brazil,2610102.0,91263.0
2020-08-01,Brazil,2662485.0,92475.0
2020-08-02,Brazil,2707877.0,93563.0
2020-08-03,Brazil,2733677.0,94104.0
2020-08-04,Brazil,2750318.0,94665.0
2020-08-05,Brazil,2801921.0,95819.0
2020-08-06,Brazil,2859073.0,97256.0
2020-08-07,Brazil,2912212.0,98493.0
2020-08-08,Brazil,2962442.0,99572.0
2020-08-09,Brazil,3012412.0,100477.0
2020-08-10,Brazil,3035422.0,101049.0
2020-08-11,Brazil,3057470.0,101752.0
2020-08-12,Brazil,3109630.0,103026.0
2020-08-13,Brazil,3164785.0,104201.0
2020-08-14,Brazil,3224876.0,105463.0
2020-08-15,Brazil,3275520.0,106523.0
2020-08-16,Brazil,3317096.0,107232.0
2020-08-17,Brazil,3340197.0,107852.0
2020-08-18,Brazil,3359570.0,108536.0
2020-08-19,Brazil,3407354.0,109888.0
2020-08-20,Brazil,3456652.0,111100.0
2020-08-21,Brazil,3501975.0,112304.0
2020-08-22,Brazil,3532330.0,113358.0
2020-08-23,Brazil,3582362.0,114250.0
2020-08-24,Brazil,3605783.0,114744.0
2020-08-25,Brazil,3622861.0,115309.0
2020-08-26,Brazil,3669995.0,116580.0
2020-08-27,Brazil,3717156.0,117665.0
2020-08-28,Brazil,3761391.0,118649.0
2020-08-29,Brazil,3804803.0,119504.0
2020-08-30,Brazil,3846153.0,120462.0
2020-08-31,Brazil,3862311.0,120828.0
2020-09-01,Brazil,3908272.0,121381.0
2020-09-02,Brazil,3950931.0,122596.0
2020-09-03,Brazil,3997865.0,123780.0
2020-09-04,Brazil,4041638.0,124614.0
2020-09-05,Brazil,4092832.0,125521.0
2020-09-06,Brazil,4123000.0,126203.0
2020-09-07,Brazil,4137521.0,126650.0
2020-09-08,Brazil,4147794.0,126960.0
2020-09-09,Brazil,4162073.0,127464.0
2020-09-10,Brazil,4197889.0,128539.0
2020-09-11,Brazil,4238446.0,129522.0
2020-09-12,Brazil,4282164.0,130396.0
2020-09-13,Brazil,4315687.0,131210.0
2020-09-14,Brazil,4330455.0,131625.0
2020-09-15,Brazil,4345610.0,132006.0
2019-12-31,Canada,0.0,0.0
2020-01-01,Canada,0.0,0.0
2020-01-02,Canada,0.0,0.0
2020-01-03,Canada,0.0,0.0
2020-01-04,Canada,0.0,0.0
2020-01-05,Canada,0.0,0.0
2020-01-06,Canada,0.0,0.0
2020-01-07,Canada,0.0,0.0
2020-01-08,Canada,0.0,0.0
2020-01-09,Canada,0.0,0.0
2020-01-10,Canada,0.0,0.0
2020-01-11,Canada,0.0,0.0
2020-01-12,Canada,0.0,0.0
2020-01-13,Canada,0.0,0.0
2020-01-14,Canada,0.0,0.0
2020-01-15,Canada,0.0,0.0
2020-01-16,Canada,0.0,0.0
2020-01-17,Canada,0.0,0.0
2020-01-18,Canada,0.0,0.0
2020-01-19,Canada,0.0,0.0
2020-01-20,Canada,0.0,0.0
2020-01-21,Canada,0.0,0.0
2020-01-22,Canada,0.0,0.0
2020-01-23,Canada,0.0,0.0
2020-01-24,Canada,0.0,0.0
2020-01-25,Canada,0.0,0.0
2020-01-26,Canada,1.0,0.0
2020-01-27,Canada,1.0,0.0
2020-01-28,Canada,2.0,0.0
2020-01-29,Canada,3.0,0.0
2020-01-30,Canada,3.0,0.0
2020-01-31,Canada,3.0,0.0
2020-02-01,Canada,4.0,0.0
2020-02-02,Canada,4.0,0.0
2020-02-03,Canada,4.0,0.0
2020-02-04,Canada,4.0,0.0
2020-02-05,Canada,5.0,0.0
2020-02-06,Canada,5.0,0.0
2020-02-07,Canada,7.0,0.0
2020-02-08,Canada,7.0,0.0
2020-02-09,Canada,7.0,0.0
2020-02-10,Canada,7.0,0.0
2020-02-11,Canada,7.0,0.0
2020-02-12,Canada,7.0,0.0
2020-02-13,Canada,7.0,0.0
2020-02-14,Canada,7.0,0.0
2020-02-15,Canada,8.0,0.0
2020-02-16,Canada,8.0,0.0
2020-02-17,Canada,8.0,0.0
2020-02-18,Canada,8.0,0.0
2020-02-19,Canada,8.0,0.0
2020-02-20,Canada,8.0,0.0
2020-02-21,Canada,9.0,0.0
2020-02-22,Canada,9.0,0.0
2020-02-23,Canada,9.0,0.0
2020-02-24,Canada,9.0,0.0
2020-02-25,Canada,11.0,0.0
2020-02-26,Canada,11.0,0.0
2020-02-27,Canada,12.0,0.0
2020-02-28,Canada,14.0,0.0
2020-02-29,Canada,16.0,0.0
2020-03-01,Canada,20.0,0.0
2020-03-02,Canada,24.0,0.0
2020-03-03,Canada,27.0,0.0
2020-03-04,Canada,30.0,0.0
2020-03-05,Canada,33.0,0.0
2020-03-06,Canada,45.0,0.0
2020-03-07,Canada,51.0,0.0
2020-03-08,Canada,57.0,0.0
2020-03-09,Canada,62.0,0.0
2020-03-10,Canada,77.0,1.0
2020-03-11,Canada,93.0,1.0
2020-03-12,Canada,103.0,1.0
2020-03-13,Canada,138.0,1.0
2020-03-14,Canada,176.0,1.0
2020-03-15,Canada,244.0,1.0
2020-03-16,Canada,304.0,1.0
2020-03-17,Canada,424.0,4.0
2020-03-18,Canada,569.0,8.0
2020-03-19,Canada,690.0,9.0
2020-03-20,Canada,846.0,10.0
2020-03-21,Canada,971.0,12.0
2020-03-22,Canada,1302.0,18.0
2020-03-23,Canada,1430.0,20.0
2020-03-24,Canada,1646.0,24.0
2020-03-25,Canada,1959.0,27.0
2020-03-26,Canada,3385.0,35.0
2020-03-27,Canada,4018.0,39.0
2020-03-28,Canada,4675.0,53.0
2020-03-29,Canada,5386.0,60.0
2020-03-30,Canada,6255.0,61.0
2020-03-31,Canada,7424.0,89.0
2020-04-01,Canada,8536.0,96.0
2020-04-02,Canada,9595.0,109.0
2020-04-03,Canada,11268.0,138.0
2020-04-04,Canada,12519.0,187.0
2020-04-05,Canada,13882.0,231.0
2020-04-06,Canada,15496.0,280.0
2020-04-07,Canada,16653.0,323.0
2020-04-08,Canada,17883.0,380.0
2020-04-09,Canada,19274.0,435.0
2020-04-10,Canada,20748.0,509.0
2020-04-11,Canada,22133.0,569.0
2020-04-12,Canada,23301.0,653.0
2020-04-13,Canada,24365.0,717.0
2020-04-14,Canada,25663.0,780.0
2020-04-15,Canada,27046.0,903.0
2020-04-16,Canada,28364.0,1010.0
2020-04-17,Canada,30081.0,1193.0
2020-04-18,Canada,31872.0,1309.0
2020-04-19,Canada,33341.0,1467.0
2020-04-20,Canada,34777.0,1580.0
2020-04-21,Canada,36823.0,1690.0
2020-04-22,Canada,38413.0,1834.0
2020-04-23,Canada,40179.0,1974.0
2020-04-24,Canada,42099.0,2146.0
2020-04-25,Canada,43877.0,2302.0
2020-04-26,Canada,45341.0,2465.0
2020-04-27,Canada,46884.0,2560.0
2020-04-28,Canada,48489.0,2707.0
2020-04-29,Canada,50015.0,2859.0
2020-04-30,Canada,51587.0,2996.0
2020-05-01,Canada,53236.0,3184.0
2020-05-02,Canada,55061.0,3391.0
2020-05-03,Canada,56714.0,3566.0
2020-05-04,Canada,59474.0,3682.0
2020-05-05,Canada,60772.0,3854.0
2020-05-06,Canada,62046.0,4043.0
2020-05-07,Canada,63496.0,4232.0
2020-05-08,Canada,64922.0,4408.0
2020-05-09,Canada,66434.0,4569.0
2020-05-10,Canada,67702.0,4693.0
2020-05-11,Canada,68848.0,4871.0
2020-05-12,Canada,69981.0,4993.0
2020-05-13,Canada,71157.0,5169.0
2020-05-14,Canada,72278.0,5304.0
2020-05-15,Canada,73401.0,5472.0
2020-05-16,Canada,74602.0,5562.0
2020-05-17,Canada,75853.0,5679.0
2020-05-18,Canada,76991.0,5782.0
2020-05-19,Canada,78061.0,5842.0
2020-05-20,Canada,79101.0,5912.0
2020-05-21,Canada,80091.0,6030.0
2020-05-22,Canada,81313.0,6152.0
2020-05-23,Canada,82469.0,6250.0
2020-05-24,Canada,83610.0,6355.0
2020-05-25,Canada,84688.0,6424.0
2020-05-26,Canada,85700.0,6545.0
2020-05-27,Canada,86636.0,6639.0
2020-05-28,Canada,87508.0,6765.0
2020-05-29,Canada,88501.0,6877.0
2020-05-30,Canada,89407.0,6979.0
2020-05-31,Canada,90179.0,7073.0
2020-06-01,Canada,90936.0,7295.0
2020-06-02,Canada,91694.0,7326.0
2020-06-03,Canada,92399.0,7395.0
2020-06-04,Canada,93074.0,7498.0
2020-06-05,Canada,93715.0,7637.0
2020-06-06,Canada,94324.0,7703.0
2020-06-07,Canada,95046.0,7773.0
2020-06-08,Canada,95688.0,7800.0
2020-06-09,Canada,96233.0,7835.0
2020-06-10,Canada,96642.0,7897.0
2020-06-11,Canada,97114.0,7960.0
2020-06-12,Canada,97519.0,7994.0
2020-06-13,Canada,97932.0,8049.0
2020-06-14,Canada,98399.0,8107.0
2020-06-15,Canada,98776.0,8146.0
2020-06-16,Canada,99136.0,8175.0
2020-06-17,Canada,99456.0,8213.0
2020-06-18,Canada,99842.0,8254.0
2020-06-19,Canada,100209.0,8300.0
2020-06-20,Canada,100618.0,8346.0
2020-06-21,Canada,101008.0,8410.0
2020-06-22,Canada,101326.0,8430.0
2020-06-23,Canada,101637.0,8436.0
2020-06-24,Canada,101963.0,8454.0
2020-06-25,Canada,102242.0,8484.0
2020-06-26,Canada,102611.0,8504.0
2020-06-27,Canada,102783.0,8508.0
2020-06-28,Canada,103021.0,8516.0
2020-06-29,Canada,103239.0,8522.0
2020-06-30,Canada,103907.0,8566.0
2020-07-01,Canada,104193.0,8591.0
2020-07-02,Canada,104193.0,8591.0
2020-07-03,Canada,104760.0,8642.0
2020-07-04,Canada,105079.0,8663.0
2020-07-05,Canada,105305.0,8674.0
2020-07-06,Canada,105524.0,8684.0
2020-07-07,Canada,105923.0,8693.0
2020-07-08,Canada,106155.0,8711.0
2020-07-09,Canada,106422.0,8737.0
2020-07-10,Canada,106793.0,8749.0
2020-07-11,Canada,107114.0,8759.0
2020-07-12,Canada,107335.0,8773.0
2020-07-13,Canada,107579.0,8783.0
2020-07-14,Canada,108144.0,8790.0
2020-07-15,Canada,108475.0,8798.0
2020-07-16,Canada,108816.0,8810.0
2020-07-17,Canada,109253.0,8827.0
2020-07-18,Canada,109658.0,8839.0
2020-07-19,Canada,109658.0,8839.0
2020-07-20,Canada,110338.0,8852.0
2020-07-21,Canada,111113.0,8858.0
2020-07-22,Canada,111684.0,8862.0
2020-07-23,Canada,112227.0,8870.0
2020-07-24,Canada,112659.0,8874.0
2020-07-25,Canada,113193.0,8881.0
2020-07-26,Canada,113543.0,8885.0
2020-07-27,Canada,113898.0,8890.0
2020-07-28,Canada,114597.0,8901.0
2020-07-29,Canada,114980.0,8912.0
2020-07-30,Canada,115456.0,8917.0
2020-07-31,Canada,115785.0,8929.0
2020-08-01,Canada,116298.0,8935.0
2020-08-02,Canada,116585.0,8941.0
2020-08-03,Canada,116870.0,8945.0
2020-08-04,Canada,117017.0,8947.0
2020-08-05,Canada,117777.0,8958.0
2020-08-06,Canada,118172.0,8962.0
2020-08-07,Canada,118546.0,8966.0
2020-08-08,Canada,118970.0,8970.0
2020-08-09,Canada,119206.0,8976.0
2020-08-10,Canada,119451.0,8981.0
2020-08-11,Canada,120117.0,8987.0
2020-08-12,Canada,120406.0,8991.0
2020-08-13,Canada,120829.0,9006.0
2020-08-14,Canada,121234.0,9015.0
2020-08-15,Canada,121652.0,9020.0
2020-08-16,Canada,121889.0,9024.0
2020-08-17,Canada,122087.0,9026.0
2020-08-18,Canada,122872.0,9032.0
2020-08-19,Canada,123154.0,9045.0
2020-08-20,Canada,123490.0,9049.0
2020-08-21,Canada,123873.0,9054.0
2020-08-22,Canada,124372.0,9064.0
2020-08-23,Canada,124629.0,9071.0
2020-08-24,Canada,124896.0,9073.0
2020-08-25,Canada,125647.0,9083.0
2020-08-26,Canada,125969.0,9090.0
2020-08-27,Canada,126417.0,9094.0
2020-08-28,Canada,126848.0,9102.0
2020-08-29,Canada,127358.0,9108.0
2020-08-30,Canada,127673.0,9113.0
2020-08-31,Canada,127940.0,9117.0
2020-09-01,Canada,128948.0,9126.0
2020-09-02,Canada,129425.0,9132.0
2020-09-03,Canada,129923.0,9135.0
2020-09-04,Canada,130493.0,9141.0
2020-09-05,Canada,131124.0,9141.0
2020-09-06,Canada,131495.0,9143.0
2020-09-07,Canada,131895.0,9145.0
2020-09-08,Canada,132142.0,9146.0
2020-09-09,Canada,133748.0,9153.0
2020-09-10,Canada,134294.0,9155.0
2020-09-11,Canada,134924.0,9163.0
2020-09-12,Canada,135626.0,9163.0
2020-09-13,Canada,136141.0,9170.0
2020-09-14,Canada,136659.0,9171.0
2020-09-15,Canada,138010.0,9179.0
2019-12-31,China,27.0,0.0
2020-01-01,China,27.0,0.0
2020-01-02,China,27.0,0.0
2020-01-03,China,44.0,0.0
2020-01-04,China,44.0,0.0
2020-01-05,China,59.0,0.0
2020-01-06,China,59.0,0.0
2020-01-07,China,59.0,0.0
2020-01-08,China,59.0,0.0
2020-01-09,China,59.0,0.0
2020-01-10,China,59.0,0.0
2020-01-11,China,59.0,1.0
2020-01-12,China,59.0,1.0
2020-01-13,China,59.0,1.0
2020-01-14,China,59.0,1.0
2020-01-15,China,59.0,2.0
2020-01-16,China,59.0,2.0
2020-01-17,China,63.0,2.0
2020-01-18,China,80.0,2.0
2020-01-19,China,216.0,3.0
2020-01-20,China,235.0,3.0
2020-01-21,China,386.0,6.0
2020-01-22,China,526.0,17.0
2020-01-23,China,623.0,17.0
2020-01-24,China,882.0,26.0
2020-01-25,China,1323.0,41.0
2020-01-26,China,1988.0,56.0
2020-01-27,China,2775.0,81.0
2020-01-28,China,4528.0,106.0
2020-01-29,China,5994.0,132.0
2020-01-30,China,7734.0,170.0
2020-01-31,China,9714.0,213.0
2020-02-01,China,11809.0,259.0
2020-02-02,China,14399.0,304.0
2020-02-03,China,17211.0,361.0
2020-02-04,China,20448.0,426.0
2020-02-05,China,24320.0,492.0
2020-02-06,China,28047.0,564.0
2020-02-07,China,31207.0,637.0
2020-02-08,China,34625.0,723.0
2020-02-09,China,37232.0,812.0
2020-02-10,China,40206.0,909.0
2020-02-11,China,42696.0,1017.0
2020-02-12,China,44724.0,1114.0
2020-02-13,China,59865.0,1368.0
2020-02-14,China,64021.0,1381.0
2020-02-15,China,66559.0,1524.0
2020-02-16,China,68566.0,1666.0
2020-02-17,China,70618.0,1771.0
2020-02-18,China,72508.0,1869.0
2020-02-19,China,74258.0,2008.0
2020-02-20,China,74652.0,2120.0
2020-02-21,China,75543.0,2238.0
2020-02-22,China,76369.0,2347.0
2020-02-23,China,77016.0,2445.0
2020-02-24,China,77234.0,2595.0
2020-02-25,China,77749.0,2665.0
2020-02-26,China,78159.0,2717.0
2020-02-27,China,78598.0,2746.0
2020-02-28,China,78927.0,2790.0
2020-02-29,China,79355.0,2837.0
2020-03-01,China,79929.0,2872.0
2020-03-02,China,80134.0,2914.0
2020-03-03,China,80261.0,2946.0
2020-03-04,China,80380.0,2983.0
2020-03-05,China,80497.0,3014.0
2020-03-06,China,80667.0,3044.0
2020-03-07,China,80768.0,3072.0
2020-03-08,China,80814.0,3099.0
2020-03-09,China,80859.0,3122.0
2020-03-10,China,80879.0,3139.0
2020-03-11,China,80908.0,3161.0
2020-03-12,China,80932.0,3172.0
2020-03-13,China,80954.0,3179.0
2020-03-14,China,80973.0,3194.0
2020-03-15,China,80995.0,3203.0
2020-03-16,China,81020.0,3216.0
2020-03-17,China,81063.0,3225.0
2020-03-18,China,81086.0,3241.0
2020-03-19,China,81130.0,3249.0
2020-03-20,China,81229.0,3253.0
2020-03-21,China,81281.0,3259.0
2020-03-22,China,81346.0,3265.0
2020-03-23,China,81484.0,3274.0
2020-03-24,China,81553.0,3281.0
2020-03-25,China,81631.0,3285.0
2020-03-26,China,81733.0,3291.0
2020-03-27,China,81827.0,3296.0
2020-03-28,China,81946.0,3299.0
2020-03-29,China,82059.0,3304.0
2020-03-30,China,82157.0,3306.0
2020-03-31,China,82241.0,3309.0
2020-04-01,China,82295.0,3310.0
2020-04-02,China,82395.0,3316.0
2020-04-03,China,82465.0,3326.0
2020-04-04,China,82527.0,3330.0
2020-04-05,China,82575.0,3333.0
2020-04-06,China,82642.0,3335.0
2020-04-07,China,82698.0,3335.0
2020-04-08,China,82784.0,3337.0
2020-04-09,China,82870.0,3339.0
2020-04-10,China,82925.0,3340.0
2020-04-11,China,83004.0,3343.0
2020-04-12,China,83097.0,3343.0
2020-04-13,China,83209.0,3345.0
2020-04-14,China,83303.0,3345.0
2020-04-15,China,83352.0,3346.0
2020-04-16,China,83402.0,3346.0
2020-04-17,China,83754.0,4636.0
2020-04-18,China,83785.0,4636.0
2020-04-19,China,83803.0,4636.0
2020-04-20,China,83817.0,4636.0
2020-04-21,China,83849.0,4636.0
2020-04-22,China,83864.0,4636.0
2020-04-23,China,83876.0,4636.0
2020-04-24,China,83884.0,4636.0
2020-04-25,China,83899.0,4636.0
2020-04-26,China,83909.0,4636.0
2020-04-27,China,83912.0,4637.0
2020-04-28,China,83938.0,4637.0
2020-04-29,China,83940.0,4637.0
2020-04-30,China,83944.0,4637.0
2020-05-01,China,83956.0,4637.0
2020-05-02,China,83959.0,4637.0
2020-05-03,China,83961.0,4637.0
2020-05-04,China,83964.0,4637.0
2020-05-05,China,83966.0,4637.0
2020-05-06,China,83968.0,4637.0
2020-05-07,China,83970.0,4637.0
2020-05-08,China,83976.0,4637.0
2020-05-09,China,83976.0,4637.0
2020-05-10,China,83991.0,4637.0
2020-05-11,China,84010.0,4637.0
2020-05-12,China,84011.0,4637.0
2020-05-13,China,84018.0,4637.0
2020-05-14,China,84024.0,4637.0
2020-05-15,China,84029.0,4637.0
2020-05-16,China,84038.0,4637.0
2020-05-17,China,84044.0,4638.0
2020-05-18,China,84054.0,4638.0
2020-05-19,China,84063.0,4638.0
2020-05-20,China,84065.0,4638.0
2020-05-21,China,84067.0,4638.0
2020-05-22,China,84079.0,4638.0
2020-05-23,China,84081.0,4638.0
2020-05-24,China,84084.0,4638.0
2020-05-25,China,84095.0,4638.0
2020-05-26,China,84102.0,4638.0
2020-05-27,China,84103.0,4638.0
2020-05-28,China,84106.0,4638.0
2020-05-29,China,84106.0,4638.0
2020-05-30,China,84123.0,4638.0
2020-05-31,China,84128.0,4638.0
2020-06-01,China,84147.0,4638.0
2020-06-02,China,84154.0,4638.0
2020-06-03,China,84159.0,4638.0
2020-06-04,China,84160.0,4638.0
2020-06-05,China,84171.0,4638.0
2020-06-06,China,84177.0,4638.0
2020-06-07,China,84186.0,4638.0
2020-06-08,China,84191.0,4638.0
2020-06-09,China,84194.0,4638.0
2020-06-10,China,84198.0,4638.0
2020-06-11,China,84209.0,4638.0
2020-06-12,China,84216.0,4638.0
